"","OT_DMF","SDN_DMF","OT_SPF","DRB_MOL"
"Landings (tonnes)/PD impact",326.8,166.8,8310.7,8976.4
"Value (×1000 euro)/PD impact",338.9,285.7,2352.8,1142.1
"Landings (tonnes)/PD-sens impact",212.8,103.7,5510.5,5042.3
"Value (×1000 euro)/PD-sens impact",220.7,177.6,1560.1,641.6
