"MSFD","HabExt","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",149," 854.5","2462.9","4436.2","6756.7","9722.3","13499.6","17984.8","23685.6","30824.0"
"Offshore circalittoral sand",47.89," 379.0","1023.3","1719.4","2516.2","3476.0"," 4539.4"," 5729.3"," 7094.5"," 8696.6"
"Offshore circalittoral coarse sediment",33.56," 170.2"," 591.7","1089.7","1601.9","2367.4"," 3336.5"," 4558.8"," 6007.6"," 7825.3"
"Offshore circalittoral mud",25.01," 266.8"," 647.8","1060.4","1553.1","2085.3"," 2723.2"," 3503.6"," 4439.2"," 5615.5"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",15.8,"   0.0","   0.9","   4.5","  19.3","  95.9","  307.8","  740.6"," 1443.3"," 2418.4"
"Upper bathyal sediment",11.32,"   5.0","  68.6"," 260.5"," 549.5"," 933.2"," 1418.4"," 1904.8"," 2476.2"," 3204.1"
"Unknown",5.82,"  18.9","  84.1"," 174.0"," 285.5"," 415.5","  560.2","  706.0","  859.7"," 1046.9"
"Circalittoral coarse sediment",3.13,"   6.3","  15.6","  22.7","  44.4","  92.9","  182.7","  268.1","  421.7","  684.9"
"Circalittoral rock and biogenic reef",1.78,"   0.9","   2.8","   8.6","  13.0","  26.6","   34.0","   43.6","   53.8","   73.5"
"Offshore circalittoral rock and biogenic reef",1.49,"   1.5","   5.4","  10.5","  19.2","  26.5","   38.5","   54.0","   83.7","  113.7"
"Circalittoral sand",0.9,"   1.4","   2.4","  11.5","  19.9","  23.0","   34.4","   49.4","   94.9","  170.6"
"Infralittoral rock and biogenic reef",0.63,"   0.0","   0.1","   1.4","   3.1","   3.2","    4.4","    8.8","   26.3","   56.7"
"Infralittoral sand",0.49,"   1.5","  12.9","  58.8","  90.8"," 109.9","  213.3","  255.6","  405.5","  459.3"
"Circalittoral mud",0.49,"<0.1","   0.5","   1.0","   2.8","  10.3","   14.4","   18.7","   24.2","   35.5"
"Infralittoral coarse sediment",0.43,"   0.8","   1.0","   5.0","  27.3","  42.4","   76.7","  125.2","  236.6","  397.2"
"Offshore circalittoral mixed sediment",0.11,"   2.2","   4.4","   6.7","   8.7","  11.3","   13.0","   15.5","   15.5","   21.9"
"Infralittoral mud",0.07,"   0.0","   0.0","   0.0","   0.4","   1.0","    1.0","    1.0","    1.0","    1.6"
"Infralittoral mixed sediment",0.05,"   0.0","   1.4","   1.4","   1.4","   1.4","    1.4","    1.4","    1.4","    1.4"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.02,"<0.1","<0.1","<0.1","   0.1","   0.4","    0.4","    0.4","    0.4","    0.6"
"Upper bathyal rock and biogenic reef",0.01,"<0.1","<0.1","<0.1","<0.1","<0.1"," -100.0"," -100.0","    0.1","    0.3"
"Lower bathyal sediment",0,"<0.1","<0.1","<0.1","<0.1","<0.1"," -100.0"," -100.0"," -100.0"," -100.0"
"Circalittoral mixed sediment",0,"   0.0","   0.0","   0.0","<0.1","<0.1"," -100.0"," -100.0"," -100.0"," -100.0"
