"","OT_DMF","SSC_DMF","OT_CRU","OT_MIX","TBB_DMF","DRB_MOL","SDN_DMF","OT_SPF"
"Area swept (*1000 km^2^)","260.73","45.54","21.91","5.21","3.36","0.68","0.49","0.14"
"Landings (*1000 tonnes)","30.97","2.52","2.21","1.23","2.32","3.49","0.03","0.05"
"Value (*10^6^ euro)","85.41","5.8","14.8","4.29","8.11","9.76","0.07","0.11"
"Landings / Area swept (kg/km^2^)","118.8","55.25","100.8","236.78","689.71","5138.17","58.87","349.22"
"Value / Area swept (euro/km^2^)","327.58","127.46","675.38","822.65","2415.58","14360.69","143.53","835.58"
