"","OT_DMF","OT_SPF"
"Landings (tonnes)/PD impact",314.7,11966.4
"Value (×1000 euro)/PD impact",312.2,2263.4
"Landings (tonnes)/PD-sens impact",212.1,8026.3
"Value (×1000 euro)/PD-sens impact",210.4,1518.2
