"","OT_CRU","OT_DMF","SDN_DMF","SSC_DMF","TBB_DMF","OT_SPF"
"Landings (tonnes)/PD impact",18.8,343.8,69.8,48.1,54.1,7520.5
"Value (*1000 euro)/PD impact",77.6,198.9,179.5,125.7,136.2,2313.3
"Landings (tonnes)/PD-sens impact",14.8,205.2,40.5,28,33.4,4980.8
"Value (*1000 euro)/PD-sens impact",61,118.7,104.2,73.2,84,1532.1
