"","TBB_DMF","OT_DMF","TBB_CRU","OT_CRU","SSC_DMF","SDN_DMF","OT_MIX","OT_SPF","DRB_MOL"
"Area swept (*1000 km^2^)","59.37","53.77","48.16","40.22","31.77","16.06","1.88","1.59","0.44"
"Landings (*1000 tonnes)","26.26","61.71","22.26","5.07","2.45","1.6","0.96","26.25","26.29"
"Value (*10^6^ euro)","107.42","29.05","91.15","20.6","5.1","4.09","3.36","6.43","18.84"
"Landings / Area swept (kg/km^2^)","442.27","1147.7","462.21","126.18","76.97","99.46","507.98","16528.2","59965.79"
"Value / Area swept (euro/km^2^)","1809.42","540.33","1892.75","512.26","160.58","254.45","1784.76","4046.66","42969.46"
