"","OT_CRU","OT_DMF","SSC_DMF","TBB_DMF","SDN_DMF","TBB_CRU","OT_MIX","DRB_MOL","OT_SPF","TBB_MOL"
"Area swept (*1000 km^2^)","158.83","138.94","83.85","67.29","58.46","48.16","23.2","9.67","5.43","0.03"
"Landings (*1000 tonnes)","18.2","98.24","6.18","32.24","5.13","22.26","9.09","62.37","28.58","0.59"
"Value (*10^6^ euro)","91.84","68.7","14.52","125.32","13.96","91.15","24.72","111.67","9.2","0.74"
"Landings / Area swept (kg/km^2^)","114.57","707.06","73.66","479.09","87.77","462.2","392.03","6451.5","5267.18","20525.84"
"Value / Area swept (euro/km^2^)","578.23","494.42","173.17","1862.4","238.86","1892.74","1065.72","11550.37","1695.01","25674.36"
