"","OT_DMF","OT_MIX","SDN_DMF","OT_SPF"
"Area swept (*1000 km^2^)",54.35,25.87,0.41,0.1
"Landings (*1000 tonnes)",8.92,29.45,0.04,0.37
"Value (*10^6^ euro)",NA,NA,NA,NA
"Landings / Area swept (kg/km^2^)",164.12,1138.55,89,3718.83
"Value / Area swept (euro/km^2^)",NA,NA,NA,NA
