"MSFD","HabExt","TotVal","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",40.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upper bathyal sediment",15.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Offshore circalittoral sand",7.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Offshore circalittoral mud",4.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Offshore circalittoral rock and biogenic reef",2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circalittoral rock and biogenic reef",2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circalittoral sand",1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Offshore circalittoral coarse sediment",1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upper bathyal rock and biogenic reef",0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Offshore circalittoral mixed sediment",0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infralittoral rock and biogenic reef",0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lower bathyal sediment",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circalittoral coarse sediment",0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circalittoral mud",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infralittoral sand",0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circalittoral mixed sediment",0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infralittoral mud",0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infralittoral mixed sediment",0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unknown",0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lower bathyal rock and biogenic reef",0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infralittoral coarse sediment",0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abyssal",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
