"","OT_DMF","OT_SPF","SDN_DMF"
"Area swept (*1000 km^2^)","27.62","0.57","0.48"
"Landings (*1000 tonnes)","11.44","0.94","0.03"
"Value (*10^6^ euro)","8.28","0.25","0.05"
"Landings / Area swept (kg/km^2^)","414.29","1641.65","65.93"
"Value / Area swept (euro/km^2^)","299.9","434.19","114.04"
