"FAO region code","FAO region name","Average annual total fishing effort 
(kW × Fishing days)","Average contribution of SSF (%)","Observed contribution range of SSF [min - max%]"
"27.3.b.23","The Sound",11237,41.8,"[7 - 75]"
"27.3.d.24","Baltic West of Bornholm",449995.67,11.7,"[11 - 13]"
"27.3.d.25","Southern Central Baltic - West",695690.17,5.7,"[3 - 8]"
