"","OT_DMF","OT_CRU","SSC_DMF","OT_MIX","TBB_DMF","DRB_MOL"
"Area swept (×1000 km^2^)","88.09","30.32","3.06","2.56","0.55","0.08"
"Landings (×1000 tonnes)","13.8","4.15","0.37","0.53","0.58","0.63"
"Value (×10^6^ euro)","39.29","23.21","0.66","1.87","2.31","0.93"
"Landings / Area swept (kg/km^2^)","156.66","136.81","121.42","205.46","1052.37","7574.58"
"Value / Area swept (euro/km^2^)","446.02","765.71","214.37","728.4","4201.74","11187.06"
