"","OT_DMF","OT_SPF"
"Landings (tonnes)/PD impact",903.3,7704.3
"Value (*1000 euro)/PD impact",5734.2,7741.4
"Landings (tonnes)/PD-sens impact",606,5267.1
"Value (*1000 euro)/PD-sens impact",3847.1,5292.5
