"","OT_DMF","OT_CRU","OT_MIX","SDN_DMF","TBB_DMF","OT_SPF","DRB_MOL"
"Area swept (×1000 km^2^)",201.2,146.04,68.44,49.68,2.33,1.76,0.02
"Landings (×1000 tonnes)",23.68,10.96,35.23,1.79,0.49,0.99,0.11
"Value (×10^6^ euro)",NA,NA,NA,NA,NA,NA,NA
"Landings / Area swept (kg/km^2^)",117.7,75.04,514.76,36,211.74,564.64,5211.92
"Value / Area swept (euro/km^2^)",NA,NA,NA,NA,NA,NA,NA
