"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",268.3,100,"   1179.9","   7211.2","18430.2","  35633.6","  59712.1","94814.1","144181.8","211834.6","304347.1"
"Offshore circalittoral sand",55.42,104.96,"    447.4","   2906.6"," 7227.0","  13275.3","  20649.7","29629.7"," 40734.2"," 54293.9"," 71913.1"
"Upper bathyal sediment",54.71,127.84,"     92.7","   1017.7"," 4034.1","   9121.6","  16651.6","27986.2"," 43493.2"," 63841.0"," 89858.7"
"Offshore circalittoral coarse sediment",51.99,92.21,"      2.6","    100.2","  560.2","   2467.8","   6010.4","12087.4"," 21800.8"," 36953.4"," 57982.7"
"Offshore circalittoral mud",31.98,81.63,"    636.4","   3170.7"," 6516.3","  10429.5","  15239.5","21816.6"," 29938.0"," 39956.3"," 54170.4"
"Unknown",29.57,17.16,"      0.0","      0.0","   15.8","     61.9","    186.8","  502.4","  1818.6","  4577.0","  9183.4"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",19.14,29.27,"      0.0","     10.5","   45.2","    161.6","    695.9"," 2260.4","  5444.4"," 10597.0"," 18288.2"
"Circalittoral coarse sediment",7.47,3.23,"      0.0","      0.0","    4.3","     15.3","     35.8","   65.0","   124.1","   252.9","   554.3"
"Offshore circalittoral mixed sediment",4.11,0.31,"      0.0","      0.0","    0.3","      2.5","      5.6","   11.3","    21.0","    40.2","    72.8"
"Circalittoral rock and biogenic reef",3.85,0.84,"      0.0","      0.0","    1.7","      8.5","     25.4","   52.4","   101.2","   174.8","   312.6"
"Offshore circalittoral rock and biogenic reef",3.64,1.08,"      0.0","      0.4","    6.5","     20.0","     47.4","   92.5","   162.2","   271.3","   442.7"
"Circalittoral sand",2.98,1.73,"      0.0","      0.7","    4.5","     18.5","     36.5","   66.0","   110.5","   180.3","   395.3"
"Circalittoral mud",1.15,0.55,"      0.4","      2.8","    8.1","     18.0","     29.8","   48.9","    74.1","   115.2","   227.0"
"Infralittoral rock and biogenic reef",0.75,0.09,"      0.0","<0.1","    0.2","      0.7","      1.2","    3.0","     6.5","    11.5","    29.1"
"Infralittoral sand",0.64,1.11,"      0.1","      0.7","    3.2","     27.2","     81.1","  171.2","   300.9","   468.8","   718.2"
"Infralittoral coarse sediment",0.53,0.45,"<0.1","      0.3","    1.4","      3.2","      8.8","   14.1","    43.1","    92.0","   181.5"
"Infralittoral mud",0.15,0.01,"      0.0","      0.0","    0.0","<0.1","<0.1","    0.1","     0.2","     0.2","     1.0"
"Circalittoral mixed sediment",0.09,0.01,"      0.0","      0.0","    0.0","<0.1","      0.3","    0.4","     1.7","     1.7","     6.6"
"Infralittoral mixed sediment",0.08,0.01,"      0.0","      0.0","    0.0","      0.0","<0.1","    0.1","     0.3","     0.3","     0.7"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.02,0,"<0.1","      0.2","    0.7","      1.3","      3.1","    3.1","     3.1","     3.1","     4.5"
"Upper bathyal rock and biogenic reef",0.02,0,"<0.1","<0.1","    0.1","      0.1","      0.2","    0.3","     0.7","     1.0","     1.5"
"Lower bathyal sediment",0.01,0,"      0.1","      0.1","    0.7","      0.7","      2.8","    2.8","     2.8","     2.8","     2.8"
