"MSFD","HabExt","TotVal","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",268.3,195713.6,"   0.4","   3.0"," 6.6","11.9","  18.6"," 26.7"," 36.7"," 49.8"," 68.0"
"Offshore circalittoral sand",55.42,35401.5,"   1.3","   8.3","15.6","23.0","  31.1"," 39.9"," 49.4"," 61.4"," 76.9"
"Upper bathyal sediment",54.71,61137.9,"<0.1","   2.0"," 5.6"," 9.7","  17.2"," 27.3"," 38.0"," 51.7"," 71.1"
"Offshore circalittoral coarse sediment",51.99,35340.7,"<0.1","   0.5"," 2.5"," 9.1","  17.9"," 26.7"," 38.9"," 53.9"," 73.0"
"Offshore circalittoral mud",31.98,35202.4,"   0.9","   4.1"," 8.5","15.7","  21.5"," 27.9"," 36.3"," 46.9"," 62.2"
"Unknown",29.57,6187.8,"   0.0","   0.0"," 0.2"," 0.8","   2.2","  5.8"," 14.1"," 28.4"," 52.2"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",19.14,10754.5,"   0.0","<0.1"," 0.2"," 0.9","   2.8","  8.1"," 19.3"," 36.7"," 61.7"
"Circalittoral coarse sediment",7.47,4824.3,"   0.0","   0.0"," 0.2"," 0.8","   1.7","  2.9","  5.3"," 13.4"," 26.1"
"Offshore circalittoral mixed sediment",4.11,149.8,"   0.0","   0.0"," 0.4"," 1.9","   3.7"," 12.1"," 16.9"," 25.7"," 39.9"
"Circalittoral rock and biogenic reef",3.85,676.6,"   0.0","   0.0"," 0.8"," 2.4","   5.7"," 13.6"," 23.6"," 34.1"," 53.4"
"Offshore circalittoral rock and biogenic reef",3.64,1012.5,"   0.0","<0.1"," 1.0"," 2.8","   5.6","  9.0"," 16.5"," 25.6"," 49.6"
"Circalittoral sand",2.98,1319.5,"   0.0","   0.2"," 0.9"," 2.8","   4.7","  7.6"," 11.3"," 17.6"," 32.0"
"Circalittoral mud",1.15,279.2,"   0.2","   1.0"," 2.7"," 5.3","   8.1"," 16.1"," 22.8"," 34.7"," 51.0"
"Infralittoral rock and biogenic reef",0.75,312.5,"   0.0","<0.1"," 0.2"," 0.8","   1.0","  2.4","  6.2"," 15.1"," 40.5"
"Infralittoral sand",0.64,1595.5,"<0.1","   0.2"," 1.1"," 7.4","  13.9"," 20.6"," 33.3"," 47.8"," 72.9"
"Infralittoral coarse sediment",0.53,1480.5,"<0.1","<0.1"," 0.3"," 1.2","   4.7","  7.6"," 18.0"," 30.6"," 53.5"
"Infralittoral mud",0.15,13.9,"   0.0","   0.0"," 0.0"," 3.2","   6.0","  6.2"," 17.9"," 17.9"," 42.5"
"Circalittoral mixed sediment",0.09,14,"   0.0","   0.0"," 0.0"," 0.4","   0.9","  2.3"," 44.7"," 44.7","100.0"
"Infralittoral mixed sediment",0.08,5.4,"   0.0","   0.0"," 0.0"," 0.0","<0.1","  1.8"," 97.3"," 97.3","100.0"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.02,2.1,"   0.9","   4.6","13.8","22.8","  71.8"," 71.8"," 71.8"," 71.8","100.0"
"Upper bathyal rock and biogenic reef",0.02,1.2,"   1.4","   1.4"," 4.6"," 4.6","   6.4"," 15.5"," 31.4"," 41.0"," 62.4"
"Lower bathyal sediment",0.01,2,"   2.6","   2.6","23.7","23.7"," 100.0","100.0","100.0","100.0","100.0"
