"MSFD","HabExt","Totwght","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",268.3,62665.4,"   0.6","   3.2"," 7.3","12.4","  18.8"," 27.0"," 37.6"," 51.1"," 69.0"
"Offshore circalittoral sand",55.42,12495.3,"   1.2","   7.5","16.0","23.5","  31.9"," 41.5"," 51.9"," 64.0"," 78.4"
"Upper bathyal sediment",54.71,17400.4,"   0.6","   2.9"," 6.7","12.4","  19.5"," 29.3"," 40.9"," 55.3"," 72.4"
"Offshore circalittoral coarse sediment",51.99,10936.1,"<0.1","   0.5"," 2.9"," 8.3","  15.5"," 23.9"," 36.1"," 51.5"," 71.7"
"Offshore circalittoral mud",31.98,10860.6,"   1.1","   4.8"," 9.6","15.1","  21.2"," 29.0"," 38.7"," 50.3"," 65.7"
"Unknown",29.57,2227.7,"   0.0","   0.0"," 0.2"," 0.7","   1.9","  5.6"," 13.9"," 29.8"," 55.9"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",19.14,4250,"   0.0","<0.1"," 0.1"," 0.6","   2.5","  8.0"," 19.1"," 37.0"," 63.4"
"Circalittoral coarse sediment",7.47,2009.4,"   0.0","   0.0"," 0.1"," 0.8","   1.9","  3.2","  5.4"," 14.3"," 26.8"
"Offshore circalittoral mixed sediment",4.11,54.6,"   0.0","   0.0"," 0.3"," 1.8","   3.6"," 12.3"," 18.5"," 27.1"," 43.5"
"Circalittoral rock and biogenic reef",3.85,220.4,"   0.0","   0.0"," 1.0"," 2.5","   7.3"," 15.4"," 23.8"," 37.0"," 55.1"
"Offshore circalittoral rock and biogenic reef",3.64,262,"   0.0","<0.1"," 1.0"," 2.9","   6.5"," 10.5"," 18.8"," 27.9"," 49.6"
"Circalittoral sand",2.98,434.8,"   0.0","   0.4"," 1.8"," 4.0","   9.0"," 12.4"," 16.6"," 21.6"," 38.8"
"Circalittoral mud",1.15,68.7,"   0.3","   2.3"," 4.3"," 6.7","   9.7"," 21.1"," 27.3"," 37.1"," 56.6"
"Infralittoral rock and biogenic reef",0.75,145,"   0.0","<0.1"," 1.0"," 2.2","   2.2","  3.2","  7.3"," 18.6"," 41.2"
"Infralittoral sand",0.64,626,"<0.1","   0.3"," 1.4"," 8.1","  14.1"," 21.1"," 34.7"," 47.5"," 74.0"
"Infralittoral coarse sediment",0.53,657.2,"<0.1","   0.1"," 0.5"," 1.3","   4.5","  7.1"," 17.0"," 27.9"," 54.0"
"Infralittoral mud",0.15,5.9,"   0.0","   0.0"," 0.0"," 6.8","   8.6","  8.7"," 19.7"," 19.7"," 54.2"
"Circalittoral mixed sediment",0.09,8.3,"   0.0","   0.0"," 0.0"," 0.2","   0.4","  0.8"," 65.2"," 65.2","100.0"
"Infralittoral mixed sediment",0.08,1.4,"   0.0","   0.0"," 0.0"," 0.0","<0.1","  1.5"," 97.6"," 97.6","100.0"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.02,0.6,"   0.8","   4.8","15.3","23.6","  69.5"," 69.5"," 69.5"," 69.5","100.0"
"Upper bathyal rock and biogenic reef",0.02,0.3,"   1.6","   1.6"," 4.5"," 4.5","   6.4"," 20.4"," 37.3"," 46.4"," 67.7"
"Lower bathyal sediment",0.01,0.6,"   2.7","   2.7","24.1","24.1"," 100.0","100.0","100.0","100.0","100.0"
