"","OT_DMF","OT_CRU","SSC_DMF","OT_MIX","TBB_DMF","DRB_MOL","SDN_DMF","OT_SPF"
"Landings (tonnes)/PD impact",50.4,15.9,50.5,27.8,63.3,101.6,111.4,208.9
"Value (*1000 euro)/PD impact",140.3,94.9,112.9,97,227.9,263.5,266.2,67
"Landings (tonnes)/PD-sens impact",39.4,12.9,36.6,22.1,42.4,88.2,66.8,207.7
"Value (*1000 euro)/PD-sens impact",109.8,77.1,81.9,77.3,152.8,228.6,159.5,66.6
