"","OT_DMF","SSC_DMF","SDN_DMF","OT_MIX","DRB_MOL","OT_SPF","TBB_DMF","OT_CRU","TBB_MOL"
"Landings (tonnes)/PD impact",72.2,64,98.9,71.3,265.7,71.3,54.6,7.5,740.4
"Value (×1000 euro)/PD impact",194.2,160.1,301.7,187.1,715.8,140.4,217.4,58.5,926.2
"Landings (tonnes)/PD-sens impact",47,35.5,63,44.3,161.7,67.4,34.6,6.4,701.6
"Value (×1000 euro)/PD-sens impact",126.4,88.8,192.2,116.2,435.8,132.6,137.8,49.9,877.6
