"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",25.4,100,"    852.2","   3033.3","   6312.2","  12294.8","  20082.4","  30736.1","  46876.7","  69884.2"," 101928.9"
"Offshore circalittoral coarse sediment",15.51,87.75,"    115.2","    439.4","   1625.3","   4672.7","   9511.1","  15793.6","  24685.6","  36814.4","  55289.9"
"Circalittoral coarse sediment",3.68,31.35,"     14.7","    144.7","    445.8","   1091.4","   1900.6","   3080.2","   6847.5","  12442.1","  19722.5"
"Circalittoral sand",2.26,16.91,"    238.2","    590.9","    955.7","   1540.5","   2388.1","   3591.1","   4965.1","   7902.6","  11529.7"
"Offshore circalittoral sand",1.3,11.89,"    343.5","   1354.1","   2245.3","   3149.1","   4001.1","   4933.4","   5937.8","   7017.0","   8538.8"
"Infralittoral sand",0.92,3.11,"     11.0","     26.8","    158.9","    373.6","    569.6","    938.9","   1315.4","   1733.1","   2086.2"
"Infralittoral coarse sediment",0.71,1.81,"     12.6","    107.4","    236.2","    341.9","    413.6","    545.3","    787.2","   1019.5","   1341.0"
"Offshore circalittoral rock and biogenic reef",0.22,0.53,"      3.7","      6.6","      8.8","     16.5","     21.3","     37.4","     55.1","     90.6","    141.6"
"Infralittoral mud",0.19,0.66,"     11.6","     25.1","     47.6","     69.8","    110.7","    188.9","    267.9","    398.6","    487.8"
"Circalittoral mud",0.16,2.18,"     74.5","    248.8","    369.2","    681.6","    798.0","   1124.2","   1340.8","   1569.7","   1811.3"
"Infralittoral rock and biogenic reef",0.16,0.26,"      0.2","      0.3","      0.9","      3.7","      6.6","     28.5","     53.8","     65.4","    119.6"
"Circalittoral rock and biogenic reef",0.13,0.15,"      0.2","      1.7","      6.6","     10.4","     14.5","     29.9","     47.4","     74.5","    102.6"
"Offshore circalittoral mixed sediment",0.1,0.08,"      0.7","      0.9","      1.8","      3.1","      3.7","      5.2","      6.0","      6.9","      8.2"
"Offshore circalittoral mud",0.05,0.74,"     25.6","     85.3","    207.7","    334.7","    334.7","    430.5","    554.4","    736.7","    736.7"
"Infralittoral mixed sediment",0.01,0.01,"      0.5","      1.2","      2.4","      5.5","      8.9","      8.9","     12.8","     12.8","     12.8"
"Circalittoral mixed sediment",0,0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","      0.2","      0.2"
"Unknown",0,0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
