"","OT_CRU","OT_DMF","OT_SPF"
"Landings (tonnes)/PD impact",10.6,165.3,3549.7
"Value (*1000 euro)/PD impact",69.3,128.4,914.9
"Landings (tonnes)/PD-sens impact",8.3,97.8,2437.1
"Value (*1000 euro)/PD-sens impact",54.1,76,628.1
