"","OT_DMF","OT_CRU","SDN_DMF","OT_MIX","TBB_DMF","OT_SPF"
"Landings (tonnes)/PD impact",59.1,17.7,65.5,30.1,24.2,100.8
"Value (*1000 euro)/PD impact",145.8,123,307.8,97.4,199.9,130.3
"Landings (tonnes)/PD-sens impact",42.3,14.6,46.4,21.7,17.2,95.1
"Value (*1000 euro)/PD-sens impact",104.3,101.1,218.2,70.5,141.8,122.9
